Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
Tirage au sort;Martine Rouiller;Olivier Udriot;54305828-e940-41ee-8fcc-f0d65f245077
Je Mabstiens de repondre a cette question;Emilie Dupuis;Olivier Udriot;9160d6b6-23f5-4043-a0e9-df68466d1c7a
ordre alphabetique;Alexia Imhof Coutaz, Natanaëlle Perrion, Améli Pistorius;Quentin Chevalley;9fef7f5a-780b-43c4-9f5d-43388e1de15a
Voix recues lors de la primaire;Emilie Dupuis, Alexia Imhof Coutaz;;e04d06cc-7597-4097-94be-ceea3f3d13a8
Voix recues lors de la primaire;Martine Rouiller;Olivier Udriot;0a0e424f-07f9-4555-9960-214d98e910e2
Voix recues lors de la primaire;Natanaëlle Perrion, Améli Pistorius, Martine Rouiller;Quentin Chevalley, Olivier Udriot;d48ace58-a02d-40c9-9b96-337c475314e0
Tirage au sort;Emilie Dupuis, Natanaëlle Perrion, Martine Rouiller;Quentin Chevalley, Olivier Udriot;d6979d00-0e46-4dd1-969e-f6ac3235f7e2
Tirage au sort;Natanaëlle Perrion, Martine Rouiller, Jenny Voeffray;Quentin Chevalley, Olivier Udriot;00b6c504-9a6c-435e-b555-ae4daa3a91fb
Voix recues lors de la primaire;Martine Rouiller;Olivier Udriot;f3f3625f-5d11-4c29-93d8-c7bb6b13608c
Voix recues lors de la primaire;Emilie Dupuis;Olivier Udriot;ef14fbb5-85b3-4993-bd58-edabea86d2ba
Tirage au sort;Natanaëlle Perrion, Martine Rouiller, Jenny Voeffray;Quentin Chevalley, Olivier Udriot;f3f59bea-5a50-4576-99fe-e443cd82184e
ordre alphabetique;Emilie Dupuis, Martine Rouiller, Jenny Voeffray;;f56a586d-22ee-4982-9167-3873d334950d
ordre alphabetique;Natanaëlle Perrion, Jenny Voeffray;Quentin Chevalley, Olivier Udriot;db0261c5-15b7-4f1f-9c96-477e6ec0df02
ordre alphabetique;Alexia Imhof Coutaz, Améli Pistorius;Olivier Udriot;33729d2a-66be-49e9-b25e-889896bb8fdd
ordre alphabetique;Martine Rouiller;;8babd988-68a6-4d04-bbfe-3651364fe1cb
Voix recues lors de la primaire;Natanaëlle Perrion, Améli Pistorius;Olivier Udriot;d06b1996-bdbf-4a18-a21a-a87e13ab71db
Je Mabstiens de repondre a cette question;Martine Rouiller;;519a3c4d-982e-4fe2-9307-3467e2b04daa
Voix recues lors de la primaire;Natanaëlle Perrion;Quentin Chevalley;b4e9f03f-8285-479d-832e-ef24c3eb27c7
Tirage au sort;Emilie Dupuis;;00d26bdc-e6d7-4d26-b072-3d064d222b25
Je Mabstiens de repondre a cette question;Natanaëlle Perrion, Jenny Voeffray;Quentin Chevalley;9df22000-8be3-4bfb-b695-b87442f3e073
representativite inverse du Grand Conseil actuel;Emilie Dupuis, Sandy Marca, Martine Rouiller;Olivier Udriot;2d66639a-cacb-4985-a7dd-f2e96f9e4a5e
representativite inverse du Grand Conseil actuel;Sandy Marca, Natanaëlle Perrion, Améli Pistorius;Olivier Udriot;cfcad391-b505-404b-add6-336835ec1516
Voix recues lors de la primaire;Emilie Dupuis, Améli Pistorius;Quentin Chevalley, Olivier Udriot;37737699-aced-48a7-b660-62c9a956593c
Voix recues lors de la primaire;Emilie Dupuis;Olivier Udriot;13015e5a-ae37-4999-94c1-f41ba0714c64
Voix recues lors de la primaire;Emilie Dupuis;Olivier Udriot;23b0b113-08d6-4443-8991-6550509ab665
Voix recues lors de la primaire;Emilie Dupuis;Olivier Udriot;e3c6ffe7-f327-47cf-b7e2-6df0f2d853b4
Voix recues lors de la primaire;Emilie Dupuis, Sandy Marca, Martine Rouiller;Quentin Chevalley;daba3fc9-da87-42ac-b36a-642e310fd025
Voix recues lors de la primaire;Natanaëlle Perrion, Améli Pistorius, Martine Rouiller;Quentin Chevalley, Olivier Udriot;63c05049-5002-49dc-9df7-147849d9212b
representativite inverse du Grand Conseil actuel;Emilie Dupuis, Alexia Imhof Coutaz, Sandy Marca;Quentin Chevalley;c7c1e96c-334d-4272-9a51-7ee1b06c6aee
Voix recues lors de la primaire;Martine Rouiller;;a146b045-1ce3-4acf-b0b0-86e91fd82c2e
Voix recues lors de la primaire;Emilie Dupuis, Alexia Imhof Coutaz, Martine Rouiller;Olivier Udriot;639bb455-c5be-46d6-8028-c64aa5c7a350
Voix recues lors de la primaire;Emilie Dupuis, Sandy Marca, Natanaëlle Perrion;Quentin Chevalley, Olivier Udriot;6db8c263-4414-493a-99c9-be57bb396966
representativite inverse du Grand Conseil actuel;Emilie Dupuis, Martine Rouiller;;6445a08e-9473-4ffd-b46a-363dc485d71b
Voix recues lors de la primaire;Martine Rouiller, Jenny Voeffray;;441efeca-fc31-4ee7-b639-49ef197eab98
Voix recues lors de la primaire;Jenny Voeffray;Olivier Udriot;8d6c45f6-c179-4ef1-9617-cf49ca6dfcde
Voix recues lors de la primaire;Natanaëlle Perrion, Jenny Voeffray;Quentin Chevalley;99c2f823-f25f-490d-9c93-ea819048f05b
ordre alphabetique;Emilie Dupuis, Sandy Marca, Jenny Voeffray;;0e1ff714-731b-457a-bcd8-99d5121792e5
Voix recues lors de la primaire;Martine Rouiller;;7d9fba5b-04ec-41c3-b1ec-f51740ae7f96
Tirage au sort;Emilie Dupuis, Alexia Imhof Coutaz, Natanaëlle Perrion;Quentin Chevalley;92eb04ff-45f7-44be-b7c9-7a3553e596be
Tirage au sort;Martine Rouiller;Quentin Chevalley;df94f930-5b82-4929-9248-5a02105b6a24
Je Mabstiens de repondre a cette question;Emilie Dupuis;Quentin Chevalley;5758b20d-efd3-4f45-aebf-0361d7ee15bb
Voix recues lors de la primaire;Emilie Dupuis;Quentin Chevalley;98f5d075-240e-4507-b41a-e63a77bbaacf
Voix recues lors de la primaire;Emilie Dupuis;Olivier Udriot;03703525-f43e-4360-93d8-9967fc5ee1d0
Voix recues lors de la primaire;Emilie Dupuis;Olivier Udriot;1a3a1463-2c19-4a8b-9e50-8123e96fc6ea
representativite inverse du Grand Conseil actuel;Natanaëlle Perrion, Améli Pistorius, Martine Rouiller;Olivier Udriot;78fadfb0-13e2-4bdf-9284-b6b69f650e78
Je Mabstiens de repondre a cette question;Martine Rouiller;;fa85d076-4dbb-4a01-9d3c-27a0bcbe9a71
Tirage au sort;Natanaëlle Perrion, Améli Pistorius, Martine Rouiller;Quentin Chevalley, Olivier Udriot;4da52193-05ca-4ad4-928a-4cffec49b238
ordre alphabetique;Alexia Imhof Coutaz, Natanaëlle Perrion, Martine Rouiller;;154d9777-6bc0-49ca-af89-a44844902303
Voix recues lors de la primaire;;Quentin Chevalley, Olivier Udriot;8eba9165-c832-47fb-9a26-f40a892ad8fe
representativite inverse du Grand Conseil actuel;Emilie Dupuis, Alexia Imhof Coutaz, Améli Pistorius;Quentin Chevalley, Olivier Udriot;56173889-50f6-42ea-b960-f1310406aae3
Tirage au sort;Emilie Dupuis;Olivier Udriot;778ca3c1-c30f-4e56-ac04-fda72b8280a3
Tirage au sort;Emilie Dupuis, Martine Rouiller, Jenny Voeffray;Olivier Udriot;35790403-123a-43a1-99c9-3c0c88c50a43
Tirage au sort;Emilie Dupuis;;efda7b8f-6a9f-4706-ab2c-49912f337a2e
ordre alphabetique;Natanaëlle Perrion;Quentin Chevalley;f3202e3a-7977-4ce7-8e9b-9b48a6008d59
ordre alphabetique;Emilie Dupuis, Natanaëlle Perrion, Martine Rouiller;Quentin Chevalley;02ed27fa-3cb3-4ee2-b348-dcb730e819f2
Je Mabstiens de repondre a cette question;Martine Rouiller;;0bfeb04b-3a44-4db3-9c39-5b7b3f810670
Voix recues lors de la primaire;Alexia Imhof Coutaz, Sandy Marca, Martine Rouiller;Olivier Udriot;2caf2e42-0e95-45e9-80cd-b49f906d71f1
Voix recues lors de la primaire;Emilie Dupuis;Olivier Udriot;7b658571-b428-443d-a921-60254056ab92
ordre alphabetique;Emilie Dupuis;Olivier Udriot;f5a04cf0-1a6e-450e-bad9-3eab013273ae
Voix recues lors de la primaire;Emilie Dupuis, Natanaëlle Perrion, Jenny Voeffray;Quentin Chevalley, Olivier Udriot;7925bb10-6b96-487b-9786-0ed6ddc83d64
ordre alphabetique;Emilie Dupuis;Olivier Udriot;594e0416-d2aa-4da1-bdfe-92d96f273c0d
Voix recues lors de la primaire;Emilie Dupuis, Alexia Imhof Coutaz, Martine Rouiller;Olivier Udriot;03076a33-d6b0-4236-b187-a89618109384
ordre alphabetique;Martine Rouiller;Olivier Udriot;90bf8fb8-2ab5-419d-9754-bf37554b0c12
Voix recues lors de la primaire;Emilie Dupuis, Alexia Imhof Coutaz;Quentin Chevalley;1716dd85-2823-42ee-8689-b9192597de56
representativite inverse du Grand Conseil actuel;Emilie Dupuis, Natanaëlle Perrion, Améli Pistorius;Olivier Udriot;f5a40156-3142-493a-9ac1-85ffe141794b
Voix recues lors de la primaire;Emilie Dupuis;Olivier Udriot;3e116090-9337-4b17-b9e5-ad4e9f9ca4ec
Voix recues lors de la primaire;Emilie Dupuis, Alexia Imhof Coutaz, Natanaëlle Perrion;Quentin Chevalley, Olivier Udriot;bf50c7ea-9d71-43f7-85a9-4a4f080fdfdc
Voix recues lors de la primaire;Sandy Marca, Martine Rouiller;Quentin Chevalley;cd8b6a16-4f11-4f8f-a4af-33cb0fcdeba9
ordre alphabetique;Emilie Dupuis;;79f77be7-4a9c-4153-9087-4e6e16e3dee5
ordre alphabetique;Emilie Dupuis;;b598f4d9-b81b-4156-9fcc-caa8047d419a
Voix recues lors de la primaire;Natanaëlle Perrion;Quentin Chevalley;36ad2a91-c9e9-4983-b2c6-2afcf6ef5c89
Voix recues lors de la primaire;Emilie Dupuis, Améli Pistorius;Olivier Udriot;ddf6a618-0563-49a4-948b-4d66d6dc6f57
Tirage au sort;Natanaëlle Perrion, Améli Pistorius, Martine Rouiller;Quentin Chevalley, Olivier Udriot;1a7e6045-724c-4403-82bc-1907256ac5bf
Voix recues lors de la primaire;Emilie Dupuis, Natanaëlle Perrion;Quentin Chevalley, Olivier Udriot;4845ca06-2056-4536-b463-b9fdf8f38d3d
Voix recues lors de la primaire;Emilie Dupuis, Alexia Imhof Coutaz, Jenny Voeffray;Olivier Udriot;ca7f3766-fc23-421b-8cc1-f38fadca2c20
Voix recues lors de la primaire;Emilie Dupuis;;ac19c281-1775-4c03-b45e-4b9732cfd218
Tirage au sort;Emilie Dupuis, Sandy Marca, Martine Rouiller;Quentin Chevalley, Olivier Udriot;ed39ac3a-4ce8-4057-a806-3a9873048d35
ordre alphabetique;Sandy Marca, Natanaëlle Perrion, Martine Rouiller;Quentin Chevalley, Olivier Udriot;216e6632-8d8f-437d-b46b-c2b1c88e0461
ordre alphabetique;Martine Rouiller;Quentin Chevalley;60bd782f-29a6-43d1-8c03-164e752193b3
representativite inverse du Grand Conseil actuel;Emilie Dupuis, Natanaëlle Perrion, Martine Rouiller;;f0609ec1-7eb2-4886-9f85-62836cef25ae
Voix recues lors de la primaire;Emilie Dupuis;Olivier Udriot;4db7d606-10c7-4f09-8905-e7b842bba78c
Voix recues lors de la primaire;Emilie Dupuis;Olivier Udriot;a5a41ef5-a373-4d2c-9a4d-121cc9e5507e
Voix recues lors de la primaire;Emilie Dupuis, Sandy Marca, Natanaëlle Perrion;Quentin Chevalley;7e28c9a4-1ac0-4d73-a2ce-3b06214f818d
Tirage au sort;Martine Rouiller;Olivier Udriot;31ba1e59-815b-4fed-996e-4fabd02830e5
Voix recues lors de la primaire;Emilie Dupuis;;82e46131-38cf-4df2-a183-886044ba08fd
Je Mabstiens de repondre a cette question;Emilie Dupuis, Alexia Imhof Coutaz, Jenny Voeffray;Olivier Udriot;86949dd5-7779-4244-9f3f-fe801b066436
ordre alphabetique;Sandy Marca, Natanaëlle Perrion, Martine Rouiller;Quentin Chevalley, Olivier Udriot;13aaa313-728b-4053-af08-3ae4ca2ab4fe
representativite inverse du Grand Conseil actuel;Alexia Imhof Coutaz, Natanaëlle Perrion;;51abaa0f-ed6a-4718-9629-1cee2571b230
Voix recues lors de la primaire;Martine Rouiller;;0b524f06-8b19-4479-92aa-c362ffbc8b11
Voix recues lors de la primaire;Alexia Imhof Coutaz, Natanaëlle Perrion, Martine Rouiller;Quentin Chevalley, Olivier Udriot;7fdef80f-1555-4645-bfb0-fa636d1e4a91
ordre alphabetique;Emilie Dupuis, Jenny Voeffray;Olivier Udriot;d0f6c888-8243-4dd3-9906-8404923cef26
